Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402,2,100nF,C307331
C3,C_0402,1,10nF,C15195
C5,C_0603,1,2.2uF,C23630
LED1,LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA,1,NH-B2020RGBA-HF,C2874116
"Q1, Q2, Q3, Q4, Q5",SOT-523,5,HL3134KT,C52204685
"R1, R13, R14, R15, R4, R6, R9",R_0402,7,10kΩ,C25744
"R10, R3, R7",R_0402,3,5.1kΩ,C25905
R11,R_0603,1,5.1MΩ,C13320
R12,R_0603,1,3MΩ,C23156
"R2, R5, R8",R_0402,3,100Ω,C25076
S1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,"Tactile Button, 160gf",C318884
S2,SW-SMD_L3.9-W3.0-P4.45,1,"Tactile Button, 160gf",C720477
U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSVTR,C5267399
U2,X1-WLB0808-4_L0.8-W0.8-P0.40-TL,1,QMC6309,C5439871
U4,Supermini nRF52840,1,ProMicro NRF52840,
